State_Num,City_Num,EMPLOYER_num,OCCUPATION_num,party_label
18,1322,2,2,1
5,376,1,1,0
42,4895,5,2,1
2,2,2,1,1
34,162,15648,5,1
21,1583,1,1,0
21,132,2,2,1
12,232,2,2,1
11,14,2,2,1
4,98,2,2,1
18,14516,19006,12,0
35,673,1,1,0
22,1424,5,1,0
22,1587,1,1,0
34,172,1,1,0
33,417,1,1,0
37,2675,1,1,0
15,28,1,1,0
21,112,2,1,1
4,758,2,2,1
6,1965,69165,27,0
5,1274,17868,11,0
40,3972,1,1,0
37,1719,1,1,0
4,8710,4,51,0
24,943,3,2,1
12,1370,1,1,0
47,3340,3500,2618,0
48,5749,4,1,0
36,324,1,1,0
47,882,12405,1249,0
3,861,1808,7,1
20,4343,2,2,1
12,2508,5,25,1
19,1240,2,2,1
27,2070,1,1,0
5,864,1,1,0
14,25,9983,5,1
12,950,3,3,1
31,133,2,2,1
10,1513,1319,1300,1
5,43,647,6618,1
26,3075,7,18,0
16,2804,1,1,0
10,34,146,7,1
16,5290,2,1,1
10,1486,1,1,0
4,741,17947,290,1
17,121,4,30,1
42,4558,4,7012,1
2,1734,1,1,0
5,1942,4,447,0
6,147,1,1,0
12,193,40168,194,1
48,507,105622,32748,0
12,962,4,2114,0
23,129,2,2,1
12,669,3,2,1
12,32,13056,62,1
24,10003,1,1,0
47,886,1,1,0
26,600,2286,140,0
2,2,4,8151,1
12,4098,4,119,1
2,2,936,1160,1
50,10142,11,40,0
9,3805,1,1,0
12,67,3,1,1
15,7960,13177,4,0
37,3617,1,1,0
5,20,1,1,0
20,3218,2,2,1
14,25,2905,54,1
28,428,7392,1197,1
12,232,2,1,1
23,949,13708,845,1
7,4567,1223,372,1
15,381,5,1,1
12,99,3,2,1
2,2670,2,2,1
12,618,3,1,1
43,12132,44436,656,1
6,4225,5,25,1
17,4127,5,1,0
46,2926,377,8,1
20,5458,3971,6511,1
2,2,2,2,1
39,271,12193,63,1
3,2825,1,1,0
6,2175,1,1,0
5,45,1,1,0
40,1017,2,2,1
7,6854,135426,34897,1
41,3885,5,1,0
12,189,13,103,0
2,403,5,25,1
47,943,1,1,0
5,376,109248,183,0
12,146,2,1,1
12,4262,2,2,1
20,5856,1,1,0
12,784,12974,72,1
5,1111,478,1,0
10,2190,3,1,1
35,3252,3,2,1
6,1609,60479,21127,0
28,4922,1,1,0
17,127,4,4,1
35,693,1,1,0
12,3230,2,2,1
