State_Num,City_Num,EMPLOYER_num,OCCUPATION_num,party_label
3,2668,1,1,0
12,1622,2,2,1
12,5778,1,1,1
15,526,2,1,1
35,12251,4,179,1
5,45,25709,616,1
27,224,1,1,0
13,17,1,1,0
5,4681,2,2,1
12,41,7347,3907,1
4,1524,4,57,0
12,2943,2,2,1
2,3840,1,1,0
18,4639,1,1,0
37,692,2,2,1
16,181,2,2,1
36,1373,2,2,1
7,470,1,1,0
1,7051,6,19,1
21,132,2,2,1
2,5276,2,2,1
2,2,4,20,1
11,14,5,1,1
47,1147,1,1,0
28,5550,1,1,0
38,118,2,2,1
14,25,81508,4,1
28,840,112,15,0
7,470,2,1,1
36,781,2,2,1
6,3166,2,2,1
12,628,20514,9310,1
5,20,3,1,0
5,66,2,2,1
36,1527,2,2,1
47,2549,1,1,0
10,7200,2,2,1
12,4636,2,2,1
42,475,3,3,0
2,5669,2,2,1
7,367,5,1,0
3,44,4,128,1
12,41,2,2,1
41,7577,1426,54,1
10,4170,1,1,0
6,2175,2,1,1
47,1915,1,1,0
12,4589,67,1052,1
15,378,2,2,1
45,1231,1,1,0
5,440,1,1,0
12,375,1,1,0
6,1872,2,1,1
7,2388,1,1,0
29,116,2,2,1
48,510,1,1,0
15,2294,3,2,1
12,1665,2,1,1
5,846,5,2,1
6,4285,76693,547,0
12,966,4,32,1
21,1958,1,1,0
20,3190,24360,1466,1
5,93,2,2,1
7,470,2,2,1
28,428,22853,21,1
10,2922,2,2,1
17,10125,5797,10,1
2,2,3,3,1
42,281,3,2,1
42,1134,3,2,1
20,341,2,2,1
17,121,727,6959,1
29,1611,3,2,1
6,2687,6,19,1
35,687,4,2740,0
24,5072,1,1,0
2,2,2,2,1
6,19,2,2,1
3,2767,4,6,0
37,1989,5,1,1
5,4887,5,1,1
28,3873,3,2,1
36,243,1,1,0
27,37,1,1,0
20,300,5,2,1
38,7002,1,1,0
28,428,4,3697,0
1,668,4,39,1
28,2692,2,2,1
2,2,2,2,1
18,447,4,3,0
5,846,2,2,1
36,466,2,2,1
5,1150,1,1,0
5,3243,1,1,0
44,10486,2,2,1
28,13379,2,2,1
7,400,49505,47,0
37,3648,1,1,0
4,98,1,1,1
5,43,1,1,0
35,1106,1,1,0
12,276,1,1,0
17,2980,190254,30476,1
10,1486,5,1,0
21,112,1,1,0
17,123,1,1,0
2,2,5,2,1
47,7594,1,1,0
12,67,2,1,1
37,3565,13748,33,1
42,1311,2,2,1
40,777,1,1,0
22,2034,1,1,0
12,1115,86016,44,1
12,1446,2,2,1
27,1713,1,1,0
18,38,1,1,0
19,364,1,1,0
6,759,1292,68,0
3,536,2,2,1
37,1264,39316,14589,0
12,430,2,2,1
22,1018,3,3,0
16,1821,4,5,1
5,359,404,761,1
30,342,1,1,0
9,6463,1,1,0
21,112,2,2,1
36,3551,3,1,1
16,509,1,1,0
5,1567,1,1,0
7,3655,5336,72,1
16,6660,1,1,0
21,556,1,1,0
40,3040,1,1,0
12,1144,3,1,1
12,5522,2,2,1
31,7220,1,1,0
12,193,20910,1123,1
6,169,2,2,1
2,202,824,185,0
36,466,3,1,1
24,3783,4,418,0
12,119,2,2,1
12,847,2,2,1
40,1675,3,3,0
37,3570,3,1,1
5,45,4,12,1
37,668,1,1,0
17,127,2,2,1
5,66,2,1,1
16,7718,4,3236,0
37,948,1,1,0
40,367,5,2,1
12,1448,4,952,1
10,5098,89,13,1
2,2,36585,7,1
2,8247,1102,17,1
38,51,2,2,1
25,1973,1,1,0
7,2286,3,3,0
40,1017,1,1,0
12,847,5,2,1
17,35,5,2,1
12,222,79848,107,1
24,943,2,2,1
12,847,2,2,1
43,2679,4,193,0
12,3090,678,71,0
11,14,98400,4,1
6,3268,2,1,1
42,2979,1,1,0
7,288,1,1,0
2,10924,2,2,1
12,3090,43524,4,1
25,1105,1,1,0
12,3081,2,2,1
4,98,4,35,1
18,2368,1,1,0
45,11660,126758,11,0
10,1193,1,1,0
16,2378,1,1,0
26,3799,1,1,0
5,20,1,1,0
50,822,1,1,0
2,1968,825,256,1
41,9330,1,1,0
5,20,1,1,0
7,470,1078,5,1
2,502,350,132,1
5,805,1,1,0
20,3190,90,35,1
21,1958,1,1,0
33,5754,1,1,0
12,1610,1,1,0
4,254,2,2,1
50,8982,8367,11,0
47,943,4,249,0
28,428,2961,3623,1
40,3175,49754,60,1
40,3118,237,5,1
47,465,1,1,0
20,1934,2,2,1
10,3714,3,2,1
28,428,5,1,0
44,2071,5,1,0
11,14,10641,145,1
37,3616,4,1358,1
5,138,1985,20,0
28,919,2848,1910,1
21,130,1,1,0
17,531,75640,4,1
23,116,1,1,0
19,4402,2,2,1
48,1521,110,304,1
12,4769,1,1,0
17,243,7580,51,1
6,272,2,2,1
6,289,123028,1425,0
12,1397,1,1,0
12,227,9941,5386,1
2,12314,2,2,1
17,3240,2,2,1
20,1134,768,1049,1
12,3922,4,34,1
29,2033,3,3,0
50,4361,2,2,1
5,1232,1,1,0
7,8,5,1,0
14,25,2,2,1
2,874,1,1,0
37,3659,167,36,1
28,6796,1,1,0
12,4928,2,2,1
12,983,1927,3873,0
42,2411,3,1,1
16,6435,16446,1232,0
15,2294,3,2,1
40,4347,1,1,0
12,33,1,1,1
40,8479,63787,15,1
6,3166,2,2,1
19,302,18714,4530,0
12,195,2,2,1
2,2,4,39,1
37,948,5,25,1
12,1745,1,1,0
24,3757,1595,82,0
37,2978,2,2,1
6,461,1,1,0
15,1148,4,5,0
23,949,13708,845,1
28,428,4,6,1
16,3924,2,2,1
2,7159,637,17,1
20,4731,5998,21,1
4,2934,2,2,1
2,2532,2,2,1
5,66,24729,15996,1
5,138,801,11,0
28,1772,2,2,1
16,4969,2,2,1
21,2150,3,2,1
21,2127,29934,6336,0
6,250,24122,5,0
12,1250,5,1,0
48,510,1,1,0
6,1904,1,1,0
47,8044,1,1,0
20,1627,63646,6,1
46,1947,1,1,0
37,934,2,2,1
5,1066,19720,5,1
4,24,2,2,1
36,247,1,1,0
23,393,4,44,1
10,2922,2,2,1
42,1494,5,2,1
2,228,3,3,1
12,67,2,2,1
17,512,41479,5,0
19,302,1,1,0
19,1576,1,1,0
40,1675,2,2,1
12,4241,2,2,1
21,112,3,2,1
6,771,2,2,1
2,2,20456,3603,1
7,1397,1,1,0
40,1675,18253,99,1
5,1150,25,36,0
10,1028,1,1,0
21,130,1,1,0
37,689,6246,12,0
12,239,1,1,0
12,4036,2,2,1
3,617,3,3,1
20,892,4,6,1
2,1178,1,1,0
40,1675,4,730,1
7,1661,23792,52,0
12,1497,118130,112,1
21,130,37819,818,0
5,376,31355,20,0
19,339,3,2,1
22,1908,1,1,0
38,118,905,60,1
16,898,3,2,1
37,1470,1,1,0
35,6674,1,1,0
35,693,1,1,0
17,2650,5,2,1
37,3728,2,2,1
11,14,912,99,1
43,416,1,1,0
22,56,1,1,0
42,281,2,2,1
2,5702,3,2,1
24,171,1,1,0
12,6181,3702,150,1
21,3143,2,2,1
2,2318,1147,121,1
40,5024,1,1,0
6,1609,1,1,0
4,98,1,1,0
21,2629,3,2,1
47,502,1,1,0
2,740,154067,21,1
23,4994,4,30,1
28,428,4,123,0
28,713,2,2,1
12,7259,2,2,1
51,1634,3,3,1
5,2205,1,1,0
28,3058,1,1,0
15,578,1,1,0
38,19038,3,3,0
17,35,3856,5,1
14,102,5,2,1
3,615,2,2,1
3,536,2,2,1
15,382,2,2,1
35,676,2,2,1
5,2685,1,1,0
12,216,5492,3574,1
12,865,2,2,1
15,378,2,2,1
12,1887,2,2,1
28,3058,1,1,0
23,658,103838,4,1
3,160,4,47,1
21,1914,4,5907,0
40,1675,2,2,1
19,4642,4,3460,0
2,2,2,2,1
25,663,1630,145,1
5,127,12462,2040,1
10,2448,3,3,0
28,7316,1,1,0
2,2,4,632,1
42,281,79622,4,1
23,118,68568,225,1
12,63,2,2,1
5,2380,15,1,1
7,62,1,1,0
11,14,416,38,1
12,263,4,5,0
15,221,1,1,0
2,537,1,1,0
40,4859,4,27,0
29,368,3,3,0
44,890,2,2,1
9,788,2,2,1
20,1605,3,22,1
21,556,2,2,1
40,2499,203,192,0
37,1056,1,1,0
20,810,2,2,1
26,420,1,1,0
17,123,2,2,1
12,193,1,1,0
2,13315,2,2,1
5,440,1,1,0
12,216,3,3,1
21,1327,1,1,0
47,2959,8753,1443,1
12,3614,4,30,1
47,446,1,25,1
17,104,4,10407,1
21,1327,1,1,0
15,383,1,1,0
38,9047,2,2,1
6,1704,56663,7699,0
6,62,2,2,1
2,2,3,1,1
6,6870,1,1,0
2,228,2077,28895,1
47,533,4,481,0
4,564,2,2,1
47,1915,1,1,0
21,130,1,1,0
10,13,2,2,1
15,315,2,2,1
10,159,947,1205,1
21,3143,1,1,0
12,193,1,1,0
16,301,5,2,1
18,350,1,1,0
15,2294,2,2,1
20,341,2,2,1
24,6765,2,2,1
36,10843,1,1,0
12,193,4,16,1
37,3616,5,1,1
28,3704,2,2,1
42,1624,1,1,0
28,428,260,21186,1
28,2887,7,18,0
10,2190,2,2,1
20,12675,4,1360,1
5,5959,1,1,0
40,6663,1,1,0
29,6934,1,1,0
